"term"	"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"filename"	"universal_code"	"crosszero"	"brms_support"	"Domain_general"	"Universal.shorter"
"fixed_V3"	2.10663	0.10693022	1.89707	2.316778	1.0012	3234.853	"results/0173KA/brms.single/summary_clean_uncontrolled.txt"	"0173KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Dem ⇒ N-Gen"
"fixed_intercept"	-1.529012	0.07744826	-1.682735	-1.374725	1.001173	2992.225	"results/0174KA/brms.single/summary_clean_uncontrolled.txt"	"0174KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Num ⇒ N-Gen"
"fixed_V3"	1.459249	0.10860704	1.242373	1.665021	1.003553	2945.208	"results/0174KA/brms.single/summary_clean_uncontrolled.txt"	"0174KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Num ⇒ N-Gen"
"fixed_intercept"	-3.467123	0.3590147	-4.205696	-2.822822	1.001561	1573.604	"results/0175KA/brms.single/summary_clean_uncontrolled.txt"	"0175KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Gen ⇒ N-Rel"
"fixed_V3"	3.2149200000000002	0.3625555	2.559728	3.960993	1.001353	1694.697	"results/0175KA/brms.single/summary_clean_uncontrolled.txt"	"0175KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Gen ⇒ N-Rel"
"fixed_intercept"	-2.870506	0.2725018	-3.457289	-2.368367	1.003457	2015.536	"results/0176KA/brms.single/summary_clean_uncontrolled.txt"	"0176KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Gen ⇒ N-Rel"
"fixed_V3"	2.830722	0.280028	2.311733	3.419008	1.003012	2104.477	"results/0176KA/brms.single/summary_clean_uncontrolled.txt"	"0176KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Gen ⇒ N-Rel"
"fixed_intercept"	-2.542642	0.1220571	-2.79531	-2.311242	1.000721	1799.697	"results/0177KA/brms.single/summary_clean_uncontrolled.txt"	"0177KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & Dem-N ⇒ Gen-N"
"fixed_V3"	2.519711	0.1400746	2.25799	2.806671	1.001129	2189.177	"results/0177KA/brms.single/summary_clean_uncontrolled.txt"	"0177KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & Dem-N ⇒ Gen-N"
"fixed_intercept"	-2.51872	0.1235806	-2.773292	-2.284413	1.00135	1695.99	"results/0178KA/brms.single/summary_clean_uncontrolled.txt"	"0178KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & Num-N ⇒ Gen-N"
"fixed_V3"	1.735862	0.1428126	1.461708	2.028746	1.000384	1839.768	"results/0178KA/brms.single/summary_clean_uncontrolled.txt"	"0178KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & Num-N ⇒ Gen-N"
"fixed_intercept"	-3.19826	0.155533	-3.506061	-2.901432	1.003243	1230.209	"results/0179aKA/brms.single/summary_clean_uncontrolled.txt"	"0179aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender Adj ⇒ number Adj"
