Language_ID	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID	Closest_ISO369P3code	First_Year_Of_Documentation	Last_Year_Of_Documentation	aes	category	classification	level	med	medovertime	subclassification
tune1261	Tunen	Africa	4.75	10.67	tune1261	tvu	CM	atla1278	NA	tvu	NA	NA	1	Spoken_L1_Language	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/west2826/mand1474	language	0	[""Dugast, Idelette. 1971. Grammaire du Tùnɛn. (Langues et Littératures de l'Afrique Noire, VIII.) Paris: Éditions Klincksieck. 388pp. (Bibliography: p. -)."", ""Dugast, R. 1946. Etude grammaticale d'une fable du Cameroun Français. African studies 5. 44-53."", 'Johnston, Harry Hamilton. 1908. George Grenfell and the Congo: a history and description of the Congo Independent State and adjoining districts of Congoland, together with some account of the native peoples and their languages, the fauna and flora; and similar notes on the Cameroons and the island of Fernando Pô, the whole founded on the diaries and researches of the late Rev. George Grenfell, B.M.S., F.R.G.S.; and on the records of the British Baptist Missionary Society; and on additional information contributed by the author, by the Rev. Lawson Forfeitt, Mr Emil Torday, and others. London: Hutchinson & Co. xxiii+990pp. (2 vols).', 'Koelle, Sigismund W. 1854. Polyglotta Africana or Comparative Vocabulary of Nearly Three Hundred Words and Phrases in more than One Hundred Distinct African Languages. London: Church Missionary House. 216pp.']	(elin1239:1,ndok1258:1,mese1243:1,itun1238:1,(ndog1249:1,ndok1257:1)loga1243:1)tune1261:1;
noma1260	Nomaande	Africa	4.5893	10.9157	noma1260	lem	CM	atla1278	NA	lem	NA	NA	1	Spoken_L1_Language	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/west2826/mand1474	language	2	['Barbara Zoppke. 1990. Untersuchungen zur vergleichenden Grammatik des Nomaánté. (MA thesis, Universität Hamburg; 69pp.)', 'Taylor, Carolyn. 1986. Extensions du radical en nomaante: La morphologie derivationelle. Journal of West African Languages 16. 53-62.', 'Taylor, Carrie and Scruggs, Terri R. 1983. Aloka/Lexique: nomaande-français.', 'Scruggs, Terri R. 1980. Phonological analysis of the Nomaande language. Yaoundé: Summer Institute of Linguistics (SIL).']	(nome1234:1,nony1234:1,nuce1234:1)noma1260:1;
melo1241	Melong	Africa	5.13981	9.92766	melo1241	NA	NA	atla1278	mboc1235	mbo	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/mboc1235	dialect	NA	NA	melo1241:1;
sant1411	Santchou	Africa	5.13981	9.92766	sant1411	NA	NA	atla1278	mboc1235	mbo	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/mboc1235	dialect	NA	NA	sant1411:1;
bare1272	Bareko	Africa	5.13981	9.92766	bare1272	NA	NA	atla1278	mboc1235	mbo	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/mboc1235	dialect	NA	NA	bare1272:1;
keke1238	Kekem	Africa	5.13981	9.92766	keke1238	NA	NA	atla1278	mboc1235	mbo	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/mboc1235	dialect	NA	NA	keke1238:1;
nswa1234	Nswase	Africa	5.23655	9.52275	nswa1234	NA	NA	atla1278	bass1260	bsi	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/bass1260	dialect	NA	NA	nswa1234:1;
mien1244	Mienge	Africa	5.23655	9.52275	mien1244	NA	NA	atla1278	bass1260	bsi	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/bass1260	dialect	NA	NA	mien1244:1;
baka1273	Bakaka	Africa	4.79991	9.80402	baka1273	bqz	CM	atla1278	NA	bqz	NA	NA	2	Spoken_L1_Language	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/cent2284	language	3	[""Etame, Jean Ewane. 1995. Lexique Mkaa'- Français et Français- Mkaa'. Yaoundé: SIL. 139pp."", 'Hedinger, Robert. 1984. A comparative-historical study of the Manenguba languages (Bantu A.15, Mbo cluster) of Cameroon. Ph. (Doctoral dissertation, University of London; 479pp.)', 'Kilham, Hannah. 1828. Specimens of African languages, spoken in the colony of Sierra Leone. London: P. White; Committee of the Society of Friends. 12+12pp.']	(babo1241:1,bafu1245:1,balo1262:1,bane1245:1,mane1262:1,nucl1402:1)baka1273:1;
akoo1248	Akoose	Africa	4.9243	9.65522	akoo1248	bss	CM	atla1278	NA	bss	NA	NA	1	Spoken_L1_Language	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/cent2284	language	0	['Hedinger, Robert. 2008. A grammar of Akoose: a Northwest Bantu language. (SIL International and The University of Texas at Arlington Publications in Linguistics, 143.) Dallas: SIL International. xiv+303pp.', 'Angenot, Jean-Pierre and Wamushiya Ilunga Mukubi. 1973. Aspects de la grammaire générative et transformationelle de la langue akoose du Cameroun. Lubumbashi: Université Nationale du Zaïre (UNAZA).', 'Dorsch, H. 1910-1911, 1911-1912, 1912-1913. Grammatik der Nko̱si-Sprache mit einer das Nko̱si mit Duala vergleichenden Untersuchung. Zeitschrift für Kolonialsprachen I, II, III. 241-283, 161-193, 34-62.', 'Koelle, Sigismund W. 1854. Polyglotta Africana or Comparative Vocabulary of Nearly Three Hundred Words and Phrases in more than One Hundred Distinct African Languages. London: Church Missionary House. 216pp.']	(elun1242:1,mwam1246:1,mwam1245:1,nino1238:1,nort2803:1,sout2818:1,west2478:1)akoo1248:1;
